epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,402.278,1.11802,1.63968,1.21539,0.69092,0.58027,0.64228,0.46192,1.01717,1.14895,1.1026,0.00999115,0.00333038,0.00999115,0.00333038,0.00999115,0.00333038,0.00999115,0.00333038
2,748.027,1.24602,1.61025,1.28477,0.59254,0.45185,0.48791,0.32142,1.24146,1.59276,1.26379,0.0199863,0.00666209,0.0199863,0.00666209,0.0199863,0.00666209,0.0199863,0.00666209
3,1105.88,1.44591,1.99989,1.42382,0.47784,0.34695,0.34943,0.20972,1.44601,2.01044,1.42154,0.0299619,0.00998729,0.0299619,0.00998729,0.0299619,0.00998729,0.0299619,0.00998729
4,1456.58,1.5266,2.1448,1.49528,0.5217,0.38101,0.4004,0.24598,1.36684,1.77612,1.38775,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1789.55,1.45142,1.99119,1.44581,0.55957,0.4395,0.44478,0.27375,1.32096,1.67627,1.35775,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2139.12,1.39509,1.87619,1.41022,0.56664,0.44656,0.47849,0.30624,1.2647,1.56456,1.32243,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2487.07,1.3616,1.81352,1.39074,0.59444,0.46039,0.50056,0.32842,1.22812,1.50818,1.29565,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,2841.6,1.33794,1.75243,1.36903,0.60494,0.48267,0.52681,0.35414,1.17403,1.41987,1.24429,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3183.48,1.30992,1.70606,1.35263,0.61896,0.49449,0.53989,0.36258,1.17502,1.38729,1.2529,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3513.79,1.28974,1.65554,1.34011,0.61923,0.51539,0.55034,0.37732,1.13783,1.34707,1.22343,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,3843.76,1.27192,1.61458,1.32459,0.65655,0.50648,0.56213,0.38385,1.13412,1.31967,1.21415,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,4175.88,1.25178,1.57243,1.31072,0.6689,0.51676,0.57412,0.39494,1.12642,1.28965,1.20719,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,4505.09,1.24902,1.55465,1.30223,0.66558,0.52079,0.5794,0.40118,1.11086,1.28057,1.19481,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,4836.27,1.22259,1.51137,1.2848,0.65496,0.5369,0.59008,0.41102,1.09935,1.24625,1.18606,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,5166.78,1.22224,1.50327,1.28774,0.68069,0.54191,0.60472,0.42101,1.08711,1.23452,1.17824,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,5492.92,1.20603,1.48404,1.27611,0.70727,0.52625,0.59564,0.4191,1.07994,1.22687,1.17374,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,5822.87,1.19792,1.45287,1.26972,0.67099,0.56146,0.61157,0.42672,1.07463,1.19532,1.17004,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,6149.42,1.18943,1.44074,1.26671,0.67749,0.57061,0.62023,0.43607,1.06359,1.17229,1.16665,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,6469.19,1.17861,1.42106,1.25904,0.70687,0.55638,0.61953,0.43827,1.05663,1.18203,1.16148,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,6786.66,1.17371,1.4149,1.25604,0.71597,0.55916,0.63178,0.44996,1.04524,1.14532,1.15429,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,7104.07,1.16571,1.38514,1.24718,0.74484,0.56858,0.63816,0.45379,1.04009,1.12579,1.14462,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,7419.55,1.16102,1.37584,1.24433,0.69568,0.57381,0.63188,0.45414,1.03465,1.1299,1.14656,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,7735.7,1.15719,1.36006,1.23596,0.69957,0.57858,0.63767,0.46019,1.02061,1.10289,1.13122,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,8049.67,1.1499,1.3395,1.23387,0.71628,0.57319,0.64268,0.46102,1.02331,1.10415,1.13465,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,8365.32,1.13652,1.32709,1.22832,0.71602,0.58072,0.64985,0.46943,1.01526,1.08981,1.12528,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,8682.56,1.13462,1.32606,1.22264,0.71924,0.57678,0.65151,0.47113,1.00667,1.08036,1.1238,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,8996.11,1.13582,1.31761,1.2251,0.75007,0.56736,0.65178,0.47314,1.01011,1.06542,1.12976,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,9312.07,1.13092,1.3057,1.21958,0.73335,0.5802,0.65272,0.4744,1.00318,1.06309,1.12127,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,9630.98,1.11346,1.28413,1.20847,0.75308,0.58278,0.65382,0.47675,1.002,1.06259,1.11687,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,9952.72,1.11178,1.27715,1.20152,0.725,0.59422,0.66265,0.48095,0.99728,1.05036,1.11269,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,10271,1.10815,1.26349,1.20557,0.71824,0.59829,0.66108,0.483,0.99214,1.04725,1.1104,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,10591.1,1.10651,1.26783,1.2045,0.72787,0.59983,0.66125,0.48221,0.98737,1.04006,1.10994,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,10909.1,1.10107,1.24147,1.19836,0.73343,0.6009,0.66132,0.48232,0.98416,1.03043,1.10627,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,11225.6,1.0934,1.22807,1.19731,0.73888,0.60063,0.6636,0.48809,0.98152,1.02361,1.10269,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,11542.8,1.08425,1.2239,1.19171,0.76152,0.58702,0.66825,0.48751,0.97971,1.0189,1.10132,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,11860.8,1.08916,1.22157,1.19129,0.7659,0.58953,0.66882,0.49212,0.97452,1.01268,1.09776,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,12176.7,1.0792,1.1994,1.18161,0.75923,0.59843,0.67253,0.49239,0.97562,1.01154,1.09935,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,12491.2,1.07744,1.19022,1.18032,0.763,0.5963,0.67288,0.49193,0.97194,1.01129,1.09529,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,12807.3,1.07215,1.18844,1.17853,0.75367,0.60216,0.67612,0.49672,0.97066,1.00205,1.09522,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,13124.1,1.06121,1.16924,1.17492,0.76394,0.60481,0.67789,0.49829,0.96931,1.00241,1.09477,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,13437.5,1.06435,1.16989,1.17547,0.74434,0.61088,0.67834,0.50127,0.96641,0.99236,1.09374,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,13751.1,1.06047,1.16054,1.1733,0.74251,0.61904,0.67961,0.49911,0.96343,0.99433,1.09242,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,14066,1.05647,1.14918,1.1642,0.75009,0.6157,0.68014,0.49949,0.96287,0.99425,1.09189,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,14380.8,1.0486,1.13082,1.16308,0.75562,0.61289,0.68068,0.50067,0.9632,0.99464,1.09257,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,14696.1,1.0406,1.12391,1.16066,0.76705,0.60916,0.68129,0.50177,0.96022,0.99361,1.09117,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,15010.5,1.0473,1.12969,1.16848,0.76459,0.60911,0.68196,0.50229,0.95658,0.99175,1.08866,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,15325.2,1.03727,1.11061,1.15663,0.77037,0.61012,0.68243,0.50302,0.95868,0.99044,1.08901,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,15640.7,1.02618,1.09805,1.14959,0.76279,0.61281,0.68266,0.50205,0.95965,0.99155,1.08949,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,15954.5,1.02872,1.09122,1.1516,0.76354,0.60717,0.68074,0.50288,0.95759,0.99152,1.08887,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,16268.3,1.0271,1.09242,1.15182,0.74676,0.61721,0.68139,0.50365,0.95734,0.99092,1.08926,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
