epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5858,1.25922,2.08936,1.32682,0.53287,0.46642,0.44979,0.3009,1.17439,2.26131,1.24691,0.000300722,0.000300722,0.000300722
2,104.124,1.38495,1.81868,1.41016,0.41005,0.3624,0.32325,0.19992,1.41822,2.25287,1.40217,0.000603574,0.000603574,0.000603574
3,153.829,1.4905,1.9602,1.48587,0.40241,0.29386,0.27556,0.16121,1.56123,2.69287,1.55916,0.000905836,0.000905836,0.000905836
4,205.756,1.52653,1.98663,1.5047,0.45798,0.33934,0.29764,0.18193,1.45018,2.57657,1.46688,0.000907003,0.000907003,0.000907003
5,259.679,1.50335,1.91699,1.49621,0.43955,0.28013,0.28256,0.17171,1.51185,2.61714,1.52677,0.000905452,0.000905452,0.000905452
6,318.319,1.44535,1.82293,1.4477,0.46172,0.33179,0.31271,0.19014,1.48493,2.53671,1.47314,0.00090346,0.00090346,0.00090346
7,376.145,1.45105,1.82938,1.46107,0.48702,0.3769,0.36944,0.23303,1.42278,2.35558,1.46334,0.00090103,0.00090103,0.00090103
8,428.856,1.42654,1.77073,1.45079,0.49323,0.40295,0.37879,0.24141,1.3673,2.25255,1.39726,0.000898164,0.000898164,0.000898164
9,480.167,1.43032,1.73166,1.44514,0.50241,0.34944,0.36079,0.22304,1.42227,2.45336,1.44,0.000894864,0.000894864,0.000894864
10,530.705,1.41165,1.70534,1.43942,0.50416,0.38947,0.39062,0.24914,1.37739,2.2011,1.42517,0.000891134,0.000891134,0.000891134
