epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9608,1.06863,2.96904,1.33617,0.91466,0.0876,0.23182,0.15599,1.08205,2.81617,1.37266,0.000297059,0.000297059,0.000297059
2,24.3709,1.14441,2.01193,1.40077,0.63399,0.26695,0.28137,0.1807,1.28027,2.08551,1.56812,0.000588178,0.000588178,0.000588178
3,33.8742,1.18249,1.93887,1.39666,0.5616,0.20257,0.2369,0.13257,1.41475,2.14369,1.74326,0.000867298,0.000867298,0.000867298
4,42.7027,1.21736,1.92983,1.42605,0.69317,0.27374,0.3197,0.19489,1.37712,1.89726,1.74112,0.000855005,0.000855005,0.000855005
5,51.3453,1.20438,1.84526,1.41886,0.46302,0.26131,0.26789,0.15327,1.36905,1.96058,1.66016,0.000837007,0.000837007,0.000837007
6,59.8581,1.177,1.76479,1.39012,0.54558,0.30664,0.30653,0.19487,1.2631,1.86191,1.52255,0.000819009,0.000819009,0.000819009
7,68.4206,1.15997,1.72708,1.39134,0.66257,0.27926,0.28599,0.17065,1.31596,1.78542,1.57752,0.000801011,0.000801011,0.000801011
8,77.1677,1.15708,1.6812,1.39989,0.44192,0.30255,0.29325,0.18351,1.25341,1.85026,1.57654,0.000783013,0.000783013,0.000783013
9,86.3411,1.1276,1.61631,1.37271,0.5122,0.26608,0.2943,0.18823,1.2728,1.84855,1.58105,0.000765014,0.000765014,0.000765014
10,94.817,1.11129,1.5749,1.35576,0.64991,0.28516,0.31252,0.19814,1.2856,1.69041,1.59704,0.000747016,0.000747016,0.000747016
11,103.465,1.09614,1.5148,1.35413,0.49951,0.2823,0.29767,0.18344,1.33755,1.781,1.62659,0.000729018,0.000729018,0.000729018
12,112.003,1.09649,1.47829,1.33828,0.70161,0.3047,0.3477,0.22092,1.3059,1.66698,1.5962,0.00071102,0.00071102,0.00071102
13,120.451,1.07685,1.41607,1.33068,0.63028,0.28473,0.30925,0.19936,1.29573,1.61758,1.5788,0.000693022,0.000693022,0.000693022
14,129.082,1.038,1.37275,1.30319,0.50964,0.33599,0.33602,0.23507,1.17083,1.6452,1.47593,0.000675023,0.000675023,0.000675023
15,137.82,1.0188,1.317,1.28023,0.51048,0.33411,0.32223,0.19984,1.23208,1.64199,1.49685,0.000657025,0.000657025,0.000657025
16,146.494,1.04417,1.33714,1.2978,0.66009,0.31352,0.34887,0.21952,1.30024,1.51731,1.57728,0.000639027,0.000639027,0.000639027
17,155.007,1.02377,1.31047,1.28793,0.58667,0.30668,0.34927,0.22737,1.21195,1.57107,1.4908,0.000621029,0.000621029,0.000621029
18,163.506,0.99233,1.23898,1.25708,0.56007,0.31055,0.35753,0.23264,1.22807,1.52239,1.48569,0.000603031,0.000603031,0.000603031
19,172.169,0.9959,1.24273,1.262,0.74908,0.28247,0.35924,0.24483,1.14546,1.4559,1.46034,0.000585032,0.000585032,0.000585032
20,181.179,0.96387,1.20894,1.25244,0.51324,0.3516,0.34641,0.24468,1.18705,1.49711,1.4837,0.000567034,0.000567034,0.000567034
21,189.927,0.96228,1.1668,1.23415,0.50259,0.39211,0.387,0.25692,1.20783,1.48338,1.50264,0.000549036,0.000549036,0.000549036
22,198.471,0.95706,1.13943,1.24005,0.80129,0.32157,0.38662,0.2659,1.1815,1.42921,1.51635,0.000531038,0.000531038,0.000531038
23,206.965,0.9452,1.12385,1.22701,0.56446,0.33705,0.35984,0.24902,1.18167,1.44273,1.48334,0.00051304,0.00051304,0.00051304
