epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3244,1.6933,2.8531,1.89999,0.63668,0.33621,0.39931,0.20937,1.59179,2.09107,1.82346,0.000297059,0.000297059,0.000297059
2,86.9976,1.58403,2.08934,1.79466,0.46719,0.2649,0.27782,0.13755,1.6976,2.26019,2.00274,0.000596098,0.000596098,0.000596098
3,127.834,1.64088,2.11703,1.88026,0.40653,0.2962,0.25509,0.11166,2.08472,2.33563,2.40759,0.000891138,0.000891138,0.000891138
4,168.171,1.64306,2.10535,1.88308,0.44626,0.22453,0.2318,0.09513,2.02729,2.76791,2.39309,0.000891002,0.000891002,0.000891002
5,209.409,1.64046,2.08921,1.89083,0.6359,0.32013,0.31235,0.1357,1.90528,2.04667,2.23936,0.000885002,0.000885002,0.000885002
6,250.823,1.62195,2.04403,1.86824,0.54465,0.26506,0.32694,0.14743,1.97439,2.04954,2.27488,0.000879003,0.000879003,0.000879003
7,291.819,1.61262,1.9722,1.85918,0.45952,0.30711,0.26657,0.11659,1.82484,2.13823,2.0781,0.000873004,0.000873004,0.000873004
8,332.466,1.5787,1.95048,1.83272,0.45636,0.33183,0.31794,0.14482,1.89513,1.83283,2.24369,0.000867004,0.000867004,0.000867004
9,373.803,1.59447,1.97459,1.85946,0.47874,0.30838,0.33276,0.15782,1.82457,1.91257,2.11315,0.000861005,0.000861005,0.000861005
10,415.44,1.57413,1.90533,1.8286,0.49188,0.35767,0.31604,0.14879,1.76416,1.95855,2.022,0.000855005,0.000855005,0.000855005
11,457.694,1.5625,1.90461,1.83653,0.46492,0.38243,0.38666,0.18507,1.7695,1.91277,2.06173,0.000849006,0.000849006,0.000849006
12,498.12,1.50837,1.85849,1.79432,0.49782,0.38051,0.44183,0.21288,1.74923,1.72462,2.07303,0.000843007,0.000843007,0.000843007
13,539.466,1.50844,1.83253,1.79382,0.60239,0.39767,0.40107,0.19844,1.68201,1.78139,1.98691,0.000837007,0.000837007,0.000837007
14,580.576,1.50777,1.77928,1.78813,0.57206,0.35033,0.35244,0.18038,1.67038,1.87757,1.96521,0.000831008,0.000831008,0.000831008
15,621.537,1.47938,1.7785,1.76182,0.58578,0.35055,0.34533,0.17161,1.64872,1.82171,2.02297,0.000825008,0.000825008,0.000825008
16,663.483,1.47386,1.72839,1.74218,0.53874,0.36262,0.37978,0.20032,1.56423,1.70545,1.93119,0.000819009,0.000819009,0.000819009
17,707.077,1.47136,1.73143,1.76649,0.55393,0.31545,0.33947,0.17417,1.73692,1.84013,2.03061,0.00081301,0.00081301,0.00081301
18,747.641,1.42469,1.64576,1.70343,0.52919,0.40779,0.36886,0.20409,1.50749,1.64835,1.83289,0.00080701,0.00080701,0.00080701
19,787.649,1.44615,1.69443,1.74174,0.60215,0.3363,0.39931,0.21654,1.59867,1.74824,1.94519,0.000801011,0.000801011,0.000801011
20,828.177,1.42523,1.66028,1.70677,0.58467,0.33263,0.36102,0.18073,1.75475,1.81209,2.07782,0.000795011,0.000795011,0.000795011
21,867.949,1.41393,1.60722,1.67686,0.57576,0.37372,0.37954,0.20315,1.61892,1.56604,1.95892,0.000789012,0.000789012,0.000789012
22,909.338,1.43845,1.65094,1.71709,0.47704,0.4563,0.44833,0.2283,1.59488,1.53354,1.90007,0.000783013,0.000783013,0.000783013
23,949.549,1.37546,1.56375,1.65687,0.6804,0.3548,0.42943,0.23047,1.50396,1.52202,1.85178,0.000777013,0.000777013,0.000777013
24,989.592,1.38424,1.53811,1.66754,0.51616,0.3419,0.4087,0.22428,1.46386,1.6983,1.82604,0.000771014,0.000771014,0.000771014
25,1031.3,1.40254,1.56299,1.67993,0.71409,0.33172,0.41268,0.22501,1.57204,1.62309,1.86936,0.000765014,0.000765014,0.000765014
26,1071.88,1.36141,1.50609,1.64418,0.71118,0.35007,0.39647,0.23148,1.48516,1.50865,1.8352,0.000759015,0.000759015,0.000759015
27,1112.33,1.36841,1.54674,1.66419,0.5141,0.41194,0.42424,0.23968,1.45852,1.53709,1.78902,0.000753016,0.000753016,0.000753016
28,1153.79,1.34983,1.49971,1.64473,0.57103,0.39772,0.38694,0.21807,1.45489,1.58085,1.84503,0.000747016,0.000747016,0.000747016
29,1194.99,1.37258,1.5082,1.67777,0.6307,0.36658,0.40878,0.20968,1.47812,1.56156,1.79347,0.000741017,0.000741017,0.000741017
30,1235.22,1.32911,1.41696,1.61957,0.57505,0.40336,0.37822,0.21383,1.48492,1.47588,1.83835,0.000735017,0.000735017,0.000735017
31,1277.28,1.3478,1.48713,1.62547,0.55306,0.41491,0.41228,0.20873,1.63322,1.4357,1.94763,0.000729018,0.000729018,0.000729018
32,1318.6,1.34796,1.50431,1.667,0.59573,0.39451,0.41231,0.23517,1.46095,1.4497,1.81154,0.000723019,0.000723019,0.000723019
33,1360.26,1.35174,1.48067,1.63678,0.50289,0.40019,0.38143,0.21316,1.46358,1.49975,1.83124,0.000717019,0.000717019,0.000717019
34,1401.37,1.3471,1.49152,1.65747,0.58597,0.35455,0.40322,0.22481,1.41841,1.49302,1.78113,0.00071102,0.00071102,0.00071102
35,1442.49,1.33445,1.46242,1.62504,0.55,0.41694,0.38487,0.20329,1.61333,1.52236,1.89736,0.00070502,0.00070502,0.00070502
36,1483.56,1.30746,1.39553,1.60524,0.61449,0.39946,0.42345,0.25023,1.28901,1.47725,1.67921,0.000699021,0.000699021,0.000699021
37,1524.94,1.29683,1.38148,1.60087,0.63949,0.37785,0.42034,0.24707,1.3714,1.51654,1.72618,0.000693022,0.000693022,0.000693022
38,1566.31,1.33459,1.41454,1.62914,0.60733,0.38193,0.3983,0.22947,1.42465,1.47845,1.7922,0.000687022,0.000687022,0.000687022
39,1608.22,1.30032,1.38224,1.60627,0.63927,0.41964,0.45942,0.26507,1.52538,1.46713,1.95857,0.000681023,0.000681023,0.000681023
40,1649.79,1.27779,1.34634,1.57934,0.56285,0.42972,0.39573,0.21824,1.5138,1.47268,1.85847,0.000675023,0.000675023,0.000675023
41,1694.98,1.27779,1.31137,1.57943,0.67307,0.41574,0.42665,0.24812,1.43401,1.45438,1.78872,0.000669024,0.000669024,0.000669024
42,1736.26,1.28393,1.30491,1.57513,0.7051,0.37677,0.41767,0.23163,1.48338,1.53921,1.84994,0.000663025,0.000663025,0.000663025
43,1777.54,1.26739,1.35985,1.58225,0.61621,0.41975,0.41519,0.24373,1.38528,1.50463,1.77151,0.000657025,0.000657025,0.000657025
44,1819.85,1.28313,1.34945,1.59333,0.66963,0.40227,0.42655,0.24797,1.47003,1.40393,1.79841,0.000651026,0.000651026,0.000651026
45,1860.73,1.27216,1.32725,1.58744,0.6379,0.3887,0.41354,0.23633,1.47694,1.4417,1.82013,0.000645026,0.000645026,0.000645026
46,1902.67,1.25964,1.31079,1.57142,0.73676,0.38208,0.4301,0.24932,1.45824,1.28462,1.81161,0.000639027,0.000639027,0.000639027
47,1943.04,1.24829,1.27347,1.54881,0.67007,0.40866,0.42029,0.2486,1.35495,1.45402,1.71029,0.000633028,0.000633028,0.000633028
48,1983.75,1.27637,1.2984,1.58738,0.70486,0.38139,0.43308,0.25148,1.48843,1.38876,1.881,0.000627028,0.000627028,0.000627028
49,2024.61,1.23615,1.2602,1.54518,0.61165,0.41269,0.40651,0.24142,1.42849,1.47002,1.77588,0.000621029,0.000621029,0.000621029
50,2064.94,1.22102,1.23827,1.54557,0.67737,0.38208,0.40721,0.23486,1.4856,1.49018,1.85974,0.000615029,0.000615029,0.000615029
51,2105.79,1.24715,1.23495,1.53186,0.64057,0.38562,0.41228,0.23818,1.38246,1.46593,1.74995,0.00060903,0.00060903,0.00060903
52,2146.56,1.24752,1.23821,1.53793,0.6843,0.38436,0.41237,0.23643,1.47929,1.39492,1.79262,0.000603031,0.000603031,0.000603031
53,2189.72,1.2107,1.24126,1.53374,0.73879,0.39191,0.42551,0.26228,1.41132,1.51546,1.80806,0.000597031,0.000597031,0.000597031
54,2230.71,1.1964,1.2271,1.52157,0.70281,0.37536,0.43474,0.26149,1.41768,1.49607,1.81225,0.000591032,0.000591032,0.000591032
55,2271.22,1.20495,1.19809,1.52124,0.6741,0.39829,0.44371,0.26032,1.39008,1.4187,1.76024,0.000585032,0.000585032,0.000585032
56,2311.91,1.1955,1.1742,1.50543,0.63778,0.35888,0.42049,0.25319,1.37996,1.48272,1.75846,0.000579033,0.000579033,0.000579033
57,2352.67,1.1957,1.19016,1.50975,0.66273,0.36223,0.40037,0.24155,1.40486,1.50444,1.77068,0.000573034,0.000573034,0.000573034
58,2393.67,1.20271,1.18861,1.51021,0.66392,0.36793,0.42584,0.24076,1.55018,1.45639,1.88192,0.000567034,0.000567034,0.000567034
59,2433.71,1.19042,1.1736,1.51194,0.4986,0.43411,0.46275,0.27863,1.37878,1.4184,1.71059,0.000561035,0.000561035,0.000561035
60,2474.39,1.1932,1.1995,1.52189,0.69393,0.33668,0.41002,0.24947,1.43208,1.39709,1.82519,0.000555035,0.000555035,0.000555035
61,2516.06,1.19113,1.18329,1.50875,0.60731,0.38289,0.41499,0.25634,1.41696,1.4731,1.75966,0.000549036,0.000549036,0.000549036
62,2556.66,1.18415,1.14099,1.49976,0.6444,0.40268,0.41865,0.26591,1.34674,1.41844,1.72209,0.000543037,0.000543037,0.000543037
63,2597.12,1.17559,1.13733,1.49395,0.66836,0.38761,0.4057,0.23996,1.53909,1.49805,1.97505,0.000537037,0.000537037,0.000537037
64,2637.34,1.15377,1.12852,1.47191,0.68226,0.38098,0.40619,0.2433,1.44188,1.39831,1.82381,0.000531038,0.000531038,0.000531038
65,2678.1,1.18128,1.14173,1.49793,0.60476,0.42743,0.40699,0.25246,1.33849,1.4108,1.73988,0.000525038,0.000525038,0.000525038
66,2719.46,1.17128,1.17113,1.49329,0.63259,0.37992,0.40331,0.2478,1.42856,1.41549,1.7838,0.000519039,0.000519039,0.000519039
67,2760.83,1.19026,1.14631,1.49661,0.71922,0.39253,0.43728,0.26895,1.3421,1.39699,1.716,0.00051304,0.00051304,0.00051304
